OrderID,Region,Country,CustID,Customer_Name,ProductSKU,Product_Category,OrderLineItem,OrderQuantity,ProductCost,ProductPrice,OrderDate,AcquisitionSource,TransactionID,Fraud,PaymentMethod,CardType,Gender
SO45080,Northwest,United States,14657,JOHN THOMAS,BK-R50B-58,Plants,1,1,413.15,699.1,2020-01-01,Meta-ads,I4127227587819694,FALSE,CREDITCARD,DISCOVER,Male
SO45079,Southwest,United States,29255,KYLE WASHINGTON,BK-R93R-48,Plants,1,1,2171.29,3578.27,2020-01-01,Google-ads,E9525730529761877,FALSE,CREDITCARD,MC,Male
SO45082,Australia,Australia,11455,ROSS SANZ,BK-M82B-44,Plants,1,1,1898.09,3374.99,2020-01-01,Google-ads,Z6376643485803420,FALSE,CREDITCARD,VISA,Male
SO45081,Canada,Canada,26782,SETH LEWIS,BK-R50B-44,Plants,1,1,413.15,699.1,2020-01-01,Google-ads,R8609290025411138,FALSE,CREDITCARD,VISA,Male
SO45083,United Kingdom,United Kingdom,14947,ALEJANDRO CHEN,BK-R93R-48,Plants,1,1,2171.29,3578.27,2020-02-01,Meta-ads,Y9572700698484288,FALSE,CREDITCARD,VISA,Male
SO45084,Southwest,United States,29143,GRACE JENKINS,BK-R93R-62,Plants,1,1,2171.29,3578.27,2020-02-01,Yt-Campaign,W9847720367646182,FALSE,CREDITCARD,MC,Male
SO45086,Australia,Australia,18747,JACQUELYN DIAZ,BK-R93R-56,Plants,1,1,2171.29,3578.27,2020-02-01,Google-ads,U5867366267578316,FALSE,CREDITCARD,VISA,Male
SO45085,Australia,Australia,18746,REGINALD ALVAREZ,BK-R93R-48,Plants,1,1,2171.29,3578.27,2020-02-01,Google-ads,K2049522469066731,FALSE,CREDITCARD,MC,Male
SO45093,Australia,Australia,18906,ADRIENNE GUTIERREZ,BK-R93R-48,Plants,1,1,2171.29,3578.27,2020-03-01,Google-ads,Y3541188796364090,FALSE,CREDITCARD,VISA,Male
SO45090,Southwest,United States,29170,ALEXANDRA ADAMS,BK-R93R-62,Plants,1,1,2171.29,3578.27,2020-03-01,Yt-Campaign,F5689640947178158,FALSE,CREDITCARD,,Male
SO45088,United Kingdom,United Kingdom,11398,COLIN NATH,BK-M82S-42,Plants,1,1,1912.15,3399.99,2020-03-01,Google-ads,R2712608754964983,FALSE,CREDITCARD,VISA,Male
SO45092,Australia,Australia,18899,GLENN LIU,BK-R93R-52,Plants,1,1,2171.29,3578.27,2020-03-01,Google-ads,Q8132147175675431,FALSE,CREDITCARD,,Male
SO45089,Southwest,United States,25977,JENNA LOPEZ,BK-M82B-48,Plants,1,1,1898.09,3374.99,2020-03-01,Google-ads,Z7157107312988898,FALSE,CREDITCARD,AMEX,Male
SO45091,Australia,Australia,18909,JODI CHAVEZ,BK-R93R-56,Plants,1,1,2171.29,3578.27,2020-03-01,Google-ads,I2240155697934762,FALSE,CREDITCARD,VISA,Others
SO45087,United Kingdom,United Kingdom,11388,JOSEPH MARTIN,BK-M82B-44,Plants,1,1,1898.09,3374.99,2020-03-01,Meta-ads,A7009533565324047,FALSE,CREDITCARD,,Male
